Timestamp,Presion (kPa),Temperatura (C),Tipo
,,,extension
Timestamp,Presion (kPa),Temperatura (C)
2025-10-03 15:37:33.759,95.86,27.5
2025-10-03 15:37:34.259,96.62,27.25
2025-10-03 15:37:34.759,101.94,27.5
2025-10-03 15:37:35.263,104.98,27.25
2025-10-03 15:37:35.763,108.78,27.0
2025-10-03 15:37:36.266,111.06,27.0
2025-10-03 15:37:36.766,114.86,26.75
2025-10-03 15:37:37.266,119.43,27.0
2025-10-03 15:37:37.770,123.23,26.75
2025-10-03 15:37:38.270,127.03,26.75
2025-10-03 15:37:38.770,130.83,27.0
2025-10-03 15:37:39.273,136.15,27.5
2025-10-03 15:37:39.773,140.71,27.0
2025-10-03 15:37:40.277,146.8,27.25
2025-10-03 15:37:40.776,151.36,27.0
2025-10-03 15:37:41.276,157.44,27.25
2025-10-03 15:37:41.780,162.76,26.75
2025-10-03 15:37:42.280,170.37,27.25
2025-10-03 15:37:42.780,176.45,26.75
2025-10-03 15:37:43.283,184.05,26.5
2025-10-03 15:37:43.783,191.65,27.0
2025-10-03 15:37:44.283,200.02,27.0
2025-10-03 15:37:44.787,209.14,26.75
2025-10-03 15:37:45.286,219.02,27.25
2025-10-03 15:37:45.786,228.91,27.25
2025-10-03 15:37:46.290,239.55,27.0
2025-10-03 15:37:46.790,250.96,27.25
