Timestamp,Tiempo_Relativo_s,Estado_Sistema,Temp1_C,Temp2_C,Temp3_C,Caudal1_Lmin,Caudal2_Lmin,Volumen1_L,Volumen2_L,PWM1,PWM2,Duty1_%,Duty2_%,Modo1,Modo2,Error1,Error2
2025-12-05 18:21:49.017,0.560,DETENIDO,28.0,25.5,28.0,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:21:50.577,2.120,DETENIDO,28.0,25.5,28.0,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:21:52.149,3.692,DETENIDO,28.0,25.5,28.0,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:21:53.697,5.240,DETENIDO,28.0,25.5,28.0,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:21:55.258,6.801,DETENIDO,28.0,25.0,28.0,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:21:56.941,8.484,DETENIDO,28.0,25.0,28.0,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:21:58.386,9.929,EN OPERACION,28.0,25.5,28.0,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:21:59.942,11.485,EN OPERACION,28.0,25.0,28.0,4.952,4.142,0.129,0.108,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:01.762,13.305,EN OPERACION,28.0,25.0,28.0,5.766,4.865,0.279,0.234,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:03.062,14.605,EN OPERACION,28.0,25.0,28.0,5.77,4.959,0.429,0.363,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:04.622,16.165,EN OPERACION,28.0,25.0,28.0,5.766,4.956,0.579,0.492,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:06.182,17.725,EN OPERACION,28.0,25.5,28.0,5.68,4.959,0.727,0.621,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:07.762,19.306,EN OPERACION,28.0,25.5,28.0,5.766,4.956,0.877,0.75,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:09.303,20.846,EN OPERACION,28.0,25.5,28.0,5.864,4.962,1.029,0.879,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:10.863,22.406,EN OPERACION,28.0,25.5,28.0,5.766,4.865,1.179,1.006,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:12.558,24.102,EN OPERACION,28.0,25.5,28.0,5.766,4.956,1.329,1.135,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:13.986,25.529,EN OPERACION,28.0,25.0,28.0,5.86,4.869,1.481,1.261,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:15.545,27.088,EN OPERACION,28.0,25.0,28.0,5.676,4.865,1.629,1.388,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:17.105,28.648,EN OPERACION,28.0,25.0,28.0,5.86,4.959,1.782,1.517,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:18.665,30.208,EN OPERACION,28.0,25.5,28.0,5.766,4.865,1.932,1.643,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 18:22:20.228,31.771,EN OPERACION,28.0,25.5,28.0,5.766,4.865,2.082,1.77,200,180,78.4,70.6,MANUAL,MANUAL,--,--
